"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c220g5-120124",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_traffic_gen.csv",,,,"Date:","11 May 2019 01:46:09 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.163,0.029,99.807,0.001,0,3222.006,439019.170,0,0,0,0,573.310,479.096
0,0,100,0,0,0,0,20372,86,0,0,445,141
1.775,0.175,98.050,0,0,0,0,21542,6457,0,0,762,1261
0.075,0.125,99.800,0,0,0,0,19172,4076,0,0,425,264
1.602,0.275,98.122,0,0,0,0,25157,6018,0,0,1940,1688
0.050,0.150,99.800,0,0,0,90112,18020,4122,0,0,420,266
1.249,0.025,98.726,0,0,0,0,17792,98,0,0,564,744
0.075,0.125,99.800,0,0,0,0,17876,1878,0,0,411,257
0.625,0.150,99.225,0,0,0,0,18482,2272,0,0,569,343
0.525,0.050,99.425,0,0,0,0,18598,230,0,0,451,638
0.075,0.125,99.800,0,0,0,0,19670,1796,0,0,470,217
1.126,0.200,98.674,0,0,0,90112,18044,698,0,0,540,756
0,0,100,0,0,0,0,17552,86,0,0,453,236
1.201,0.125,98.674,0,0,0,0,18182,1940,0,0,544,756
0.852,0.200,98.948,0,0,0,0,240970,370752,0,0,2674,2714
2.504,0.275,97.221,0,0,0,0,448533,706345,0,0,6585,5110
2.484,0.502,97.014,0,0,0,520192,658157,1033513,0,0,7458,7685
3.686,0.351,95.963,0,0,0,0,787823,1220833,0,0,6556,7811
4.627,0.625,94.747,0,0,0,0,870024,1451986,0,0,9026,10208
6.261,0.880,92.859,0,0,0,0,1620582,2537760,0,0,12624,17178
10.121,0.829,89.051,0,0,0,0,2104737,3307203,0,0,19973,23209
11.222,1.125,87.653,0,0,0,2387968,2112617,3290946,0,0,20321,23599
13.457,1.456,85.087,0,0,0,0,2712895,4347570,0,0,26536,29952
14.931,1.488,83.581,0,0,0,0,3315473,5123978,0,0,28495,36924
22.467,1.981,75.552,0,0,0,0,4946300,7460826,0,0,41412,51554
26.432,2.487,71.080,0,0,0,0,6353836,9686493,0,0,38198,60479
23.296,2.113,74.591,0,0,0,7639040,5706918,8563387,0,0,33078,52785
34.320,3.061,62.619,0,0,0,0,8279646,13741685,0,0,46766,78818
32.273,2.479,65.248,0,0,0,0,7408637,12027865,0,0,40703,65954
29.725,2.195,68.080,0,0,0,0,7265249,10321535,0,0,37422,61568
18.851,1.544,79.605,0,0,0,0,4416470,7093903,0,0,24796,39535
26.190,1.788,71.947,0.076,0,0,12550144,5600199,9202934,0,0,31281,50726
27.055,2.043,70.902,0,0,0,819200,5589611,9001807,0,0,32390,50487
21.066,1.357,77.577,0,0,0,0,3744040,6634536,0,0,25458,39276
11.962,1.001,87.037,0,0,0,0,2602146,3730563,0,0,15199,21491
26.697,2.054,71.250,0,0,0,0,5341264,9600553,0,0,32401,52710
13.508,0.882,85.610,0,0,0,10399744,2445604,3896169,0,0,14303,23405
17.843,1.276,80.881,0,0,0,0,4096528,6097202,0,0,22924,33823
26.544,1.872,71.584,0,0,0,0,4735572,10009272,0,0,31470,53397
15.379,1.007,83.614,0,0,0,0,3576735,4742968,0,0,18878,25582
15.842,1.105,83.053,0,0,0,0,3768485,5211978,0,0,20049,32672
26.626,1.790,71.533,0.050,0,0,9945088,4622420,9246018,0,0,28988,46764
16.253,1.252,82.494,0,0,0,36864,3194626,4999731,0,0,17351,25278
15.402,1.034,83.564,0,0,0,0,3724183,5289095,0,0,19830,30126
26.712,1.674,71.614,0,0,0,0,4714842,9612788,0,0,38035,50247
17.042,1.301,81.657,0,0,0,0,2841622,6137232,0,0,18975,31149
21.205,1.563,77.181,0.050,0,0,10145792,5519437,7641663,0,0,28601,42754
26.187,1.742,72.071,0,0,0,12288,4628549,9866530,0,0,29633,52473
28.044,2.285,69.671,0,0,0,0,7268275,11195475,0,0,36737,60436
24.742,1.837,73.421,0,0,0,0,5446899,9984565,0,0,32044,49862
27.684,2.187,70.129,0,0,0,0,5739509,9866881,0,0,32757,53504
20.852,1.877,77.220,0.051,0,0,11776000,5035371,8006002,0,0,28401,44601
13.293,0.928,85.779,0,0,0,0,2711580,4546030,0,0,16958,25856
14.404,1.360,84.236,0,0,0,0,2587645,4389368,0,0,30815,29895
10.748,0.979,88.272,0,0,0,0,2150845,3408548,0,0,16550,22300
12.327,1.233,86.440,0,0,0,0,2606580,4493274,0,0,16200,24935
4.371,0.599,95.005,0.025,0,0,5558272,1068263,1736348,0,0,7671,9441
3.802,0.475,95.723,0,0,0,0,730220,1251997,0,0,6444,7556
2.054,0.401,97.545,0,0,0,0,500346,881294,0,0,4307,4962
3.330,0.501,96.169,0,0,0,0,621175,1204706,0,0,6394,6532
2.609,0.326,97.065,0,0,0,0,665508,1271752,0,0,6712,7274
3.475,0.525,96,0,0,0,2539520,672090,1295294,0,0,7187,7394
0.075,0.225,99.700,0,0,0,0,36971,51472,0,0,640,486
1.026,0.025,98.949,0,0,0,0,18828,909,0,0,751,241
