"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9solr.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_traffic_gen.csv",,,,"Date:","11 May 2019 15:58:41 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.499,0.038,99.429,0.034,0,13494.181,522206.359,0,0,0,0,1010.321,1094.048
0,0,100,0,0,0,0,8422,316,0,0,307,216
0.025,0,99.975,0,0,0,0,8132,98,0,0,220,139
0.075,0.050,99.875,0,0,0,0,11905,3671,0,0,480,448
0.400,0.200,99.350,0.050,0,0,61440,7688,2155,0,0,1196,699
0.050,0,99.950,0,0,0,0,8131,1883,0,0,378,164
0,0,100,0,0,0,0,8012,1204,0,0,292,319
0,0,100,0,0,0,0,7958,98,0,0,502,237
0.025,0,99.975,0,0,0,53248,7472,86,0,0,216,132
0,0,100,0,0,0,0,7892,86,0,0,243,129
0.650,0.275,99.049,0.025,0,0,36864,293324,675186,0,0,6411,3038
1.102,0.225,98.673,0,0,0,0,474722,1071081,0,0,5862,4977
2.308,0.276,97.416,0,0,0,0,1210402,2307451,0,0,7659,10279
3.152,0.500,96.347,0,0,0,36864,1618358,3056097,0,0,9445,13296
4.350,0.679,94.971,0,0,0,0,2429440,4497882,0,0,12742,20454
5.619,0.949,93.332,0.100,0,0,3547136,2914327,5346061,0,0,15273,24402
7.026,1.158,91.816,0,0,0,0,3680656,6863643,0,0,30368,31818
18.413,2.922,78.665,0,0,0,0,9631171,17260380,0,0,64636,86649
18.356,2.188,79.457,0,0,0,0,8076660,14505821,0,0,37129,74241
3.310,0.226,96.439,0.025,0,0,9261056,1094371,2238660,0,0,13298,8712
15.809,1.506,82.635,0.050,0,0,2211840,6171180,11549755,0,0,43726,61163
5.379,0.450,94.171,0,0,0,0,2318725,3772572,0,0,10375,15233
17.717,1.999,80.283,0,0,0,0,7993727,14600538,0,0,35670,71487
4.061,1.329,94.610,0,0,0,0,1414938,3535988,0,0,34409,11072
16.918,1.485,81.596,0,0,0,0,7320806,14047553,0,0,33957,60419
4.180,0.275,95.394,0.150,0,0,6651904,1014983,2011963,0,0,5852,9451
18.039,1.465,80.495,0,0,0,0,6813579,13641218,0,0,30745,63322
4.269,0.226,95.505,0,0,0,0,1402181,4668087,0,0,8022,11466
15.420,1.344,83.236,0,0,0,0,6393036,13038230,0,0,26927,54787
3.668,0.327,96.005,0,0,0,0,1468726,4214763,0,0,8454,10239
17.615,1.629,80.656,0.100,0,0,8163328,6458573,13008202,0,0,27892,58504
0.401,0.050,99.549,0,0,0,0,281715,735388,0,0,2283,2169
17.419,1.739,80.842,0,0,0,0,6884683,12529197,0,0,40642,58160
3.328,0.225,96.446,0,0,0,0,845230,2320079,0,0,5187,6903
17.941,1.784,80.275,0,0,0,0,7907438,14592331,0,0,62032,69320
1.582,0.201,98.067,0.151,0,0,6402048,597197,2888944,0,0,5768,5864
18.399,1.670,79.930,0,0,0,0,7374468,13571857,0,0,33104,60512
4.292,0.126,95.582,0,0,0,0,2473440,4317839,0,0,10869,6789
22.683,1.834,75.484,0,0,0,0,8740362,17066749,0,0,35715,76163
3.524,0.250,96.226,0,0,0,0,829644,2204362,0,0,5307,7463
20.830,2.239,76.654,0.277,0,0,10162176,8899758,16423344,0,0,66424,76496
1.804,0.175,98.021,0,0,0,0,877815,1877793,0,0,4501,5869
19.281,1.785,78.934,0,0,0,0,7553565,14176171,0,0,33540,64040
2.077,0.075,97.848,0,0,0,0,198957,1288711,0,0,3977,2502
16.201,1.610,82.189,0,0,0,0,7617765,13436798,0,0,43725,61003
1.952,0.250,97.672,0.125,0,0,5988352,792666,1918492,0,0,7130,7623
19.286,1.810,78.904,0,0,0,0,8501375,14134932,0,0,33079,67918
26.836,2.389,70.775,0,0,0,0,11232349,20339972,0,0,42661,95761
2.352,0.100,97.548,0,0,0,0,441134,2290820,0,0,4056,4017
16.812,1.874,81.314,0,0,0,36864,7418944,13902677,0,0,35714,60081
2.001,0.050,97.949,0,0,0,0,384428,1066112,0,0,3000,1495
4.271,0.427,95.151,0.151,0,0,9424896,1653009,3546018,0,0,8982,12027
7.650,0.606,91.745,0,0,0,0,2566070,5750120,0,0,18094,26691
6.904,0.579,92.517,0,0,0,0,2470494,5646881,0,0,15322,23506
4.648,0.675,94.678,0,0,0,208896,1389637,3212698,0,0,15543,15410
4.477,0.450,95.073,0,0,0,0,1343830,3036669,0,0,9331,13387
0.401,0.050,99.424,0.125,0,0,6619136,88004,188055,0,0,2538,1907
0.351,0.025,99.624,0,0,0,0,92572,176144,0,0,1157,1120
0.250,0.025,99.725,0,0,0,0,48034,74416,0,0,1377,937
0.325,0,99.675,0,0,0,0,49689,83620,0,0,564,482
0.325,0.025,99.650,0,0,0,0,35068,38052,0,0,765,921
0.475,0.025,99.425,0.075,0,0,106496,40777,75681,0,0,536,881
0.225,0,99.775,0,0,0,0,9612,5567,0,0,286,222
0.050,0,99.950,0,0,0,0,34705,40937,0,0,1006,1080
1.026,0,98.974,0,0,0,0,21980,22632,0,0,936,987
0.450,0.050,99.500,0,0,0,0,20268,14296,0,0,715,819
0.325,0,99.675,0,0,0,0,6502,316,0,0,343,255
0.400,0.025,99.525,0.050,0,0,77824,22876,14703,0,0,750,933
0.400,0,99.600,0,0,0,0,9555,8056,0,0,295,245
0.300,0,99.700,0,0,0,0,6932,152,0,0,271,156
0.525,0.050,99.425,0,0,0,8192,6452,86,0,0,251,654
0,0,100,0,0,0,0,6442,316,0,0,269,241
1.050,0.050,98.850,0.050,0,0,32768,24375,14304,0,0,824,1482
0,0,100,0,0,0,0,6272,86,0,0,225,161
1.075,0.025,98.900,0,0,0,0,7649,1536,0,0,329,807
0.075,0,99.925,0,0,0,0,9981,2481,0,0,444,264
